n,mu_Thermo,mu_Ham,mu_Ham_Exact,n_TF,mu_TF
253,0.882603473495692,274.63146567843796,22.0,253,22.49443639062429
254,0.9227183116599917,287.1136245769085,23.0,254,22.538847985907555
255,0.9227194641716778,287.11398319318687,23.0,255,22.583172242443023
256,0.9227197442669421,287.11407034781587,23.0,256,22.627409673487797
257,0.9227198648732156,287.1141078757355,23.0,257,22.671560787291394
258,0.9227199163287878,287.11412388669123,23.0,258,22.715626087164058
259,0.9227199540473521,287.1141356232183,23.0,259,22.759606071543672
260,0.9227199784945697,287.114143230232,23.0,260,22.80350123406166
261,0.9227199913002551,287.114147214852,23.0,261,22.84731206360722
262,0.9227200034074485,287.1141509821391,23.0,262,22.89103904439158
263,0.9227200087625533,287.11415264843527,23.0,263,22.934682656009358
264,0.9227200183086097,287.11415561879403,23.0,264,22.978243373501225
265,0.9227200278546661,287.1141585891528,23.0,265,23.021721667413434
266,0.9227200339082628,287.1141604727891,23.0,266,23.065118003857112
267,0.9227200434543192,287.1141634431551,23.0,267,23.108432844566806
268,0.922720052767545,287.1141663410526,23.0,268,23.15166664695771
269,0.922720062546432,287.1141693838654,23.0,269,23.194819864182058
270,0.9227200814057142,287.1141752521289,23.0,270,23.23789294518448
271,0.9227201002649963,287.11418112039973,23.0,271,23.28088633475657
272,0.9227201440371573,287.1141947405631,23.0,272,23.323800473590392
273,0.9227202048059553,287.1142136494309,23.0,273,23.366635798331252
274,0.9227203242480755,287.114250815117,23.0,274,23.409392741629492
275,0.9227206502109766,287.114352241937,23.0,275,23.452071732191502
276,0.9227218837477267,287.11473607003427,23.0,276,23.494673194829854
277,0.9628364248201251,299.5968025251932,24.0,277,23.537197550512612
278,0.9628376718610525,299.59719055525784,24.0,278,23.579645216411908
279,0.9628379810601473,299.597286765842,24.0,279,23.62201660595169
280,0.9628381142392755,299.5973282059422,24.0,280,23.66431212885466
281,0.9628381682559848,299.59734501382627,24.0,281,23.70653219118853
282,0.9628382069058716,299.5973570401402,24.0,282,23.748677195411503
283,0.9628382325172424,299.5973650093947,24.0,283,23.790747540417023
284,0.9628382502123713,299.5973705154247,24.0,284,23.832743621577805
285,0.9628382613882422,299.59737399291043,24.0,285,23.874665830789265
286,0.9628382688388228,299.59737631124153,24.0,286,23.916514556512116
287,0.9628382762894034,299.59737862956536,24.0,287,23.95829018381437
288,0.9628382860682905,299.5973816723781,24.0,288,23.99999309441269
289,0.9628382911905646,299.5973832662203,24.0,289,24.041623666713118
290,0.9628382995724678,299.5973858743455,24.0,290,24.083182275850927
291,0.9628383130766451,299.5973900763056,24.0,291,24.12466929373044
292,0.9628383168019354,299.5973912354748,24.0,292,24.166085089063568
293,0.9628383237868547,299.5973934089052,24.0,293,24.207430027407113
294,0.962838351726532,299.5974021026341,24.0,294,24.248704471204533
295,0.9628383740782738,299.5974090576201,24.0,295,24.289908779816663
296,0.9628384122624993,299.5974209390406,24.0,296,24.331043309562663
297,0.9628384788520634,299.59744165909797,24.0,297,24.37210841375472
298,0.9628386180847883,299.5974849828417,24.0,298,24.413104442733477
299,0.962838969193399,299.59759423402284,24.0,299,24.45403174390294
300,0.9628403009846807,299.5980086350537,24.0,300,24.494890661764803
