n_TF,cp_pct_error,cv_pct_error
235,-1.4569280977084091,-5385.569965908525
236,-1.2474848332145814,-19521.614581755563
237,-1.0384845879861897,5738.815635956652
238,-0.8299242220159477,-29355.60454321559
239,-0.6218024729551416,58534.00356164341
240,-0.4141148318208657,-8493.791629105875
241,-0.2068596761006552,-6642.091586178429
242,-3.45315614372448e-05,6455.650400128532
243,0.2063644040007371,5274.7846474643975
244,0.4123387895135135,-59344.158328895064
245,0.6178913137967018,-9994.23946061425
246,0.8230253653956069,-4349.0334229886585
247,1.027742089333054,-59707.2533332132
248,1.2320453360713604,4494.445729295798
249,1.4359373954823051,-inf
250,1.6394194979676922,-20089.383308152173
251,1.8424960295597377,-6108.796710029989
252,2.0451677818766094,-7625.943355470863
253,2.24743771693745,2522.9081530032568
254,-2.0050083767819196,30122.996811081346
255,-1.812294813308587,-15241.21636524282
256,-1.619957957581094,-6842.61160687594
257,-1.427996592999653,-5627.446542949921
258,-1.2364086523997426,4976.674110247786
259,-1.0451909287227226,4595.233698481558
260,-0.854342475958738,30477.879473207566
261,-0.6638604874845425,-4476.660988609033
262,-0.47374342108457984,-4822.347947831933
263,-0.28398870911351953,30653.78516463508
264,-0.0945940832143066,5502.21766732942
265,0.09444201793830168,6760.110837617928
266,0.2831218230304171,-15564.345201872515
267,0.47144725846532,-3745.5026787825327
268,0.6594197829046996,-31144.746454551627
269,0.8470428334541177,12341.044833672593
270,1.0343172215463234,31060.370264568995
271,1.2212447567310676,12387.208635769783
272,1.4078285848902115,-3575.062958646985
273,1.594068099831734,-62766.01193216777
274,1.77996822336935,6178.068026280512
275,1.965529671049514,-7961.892489112846
276,2.150752264434199,2639.5387586553115
277,-1.9283427003777858,-3606.8575651142332
278,-1.7514787203365674,-10639.545874106683
279,-1.5749311881397705,5659.173612811105
280,-1.3986991161956743,-10677.390129069507
281,-1.22278295558856,8982.509915624132
282,-1.0471780422865486,-16022.649193518424
283,-0.8718853604749801,-32001.711966387735
284,-0.6969018431025692,10552.675320026015
285,-0.5222255470248652,-12905.696388668863
286,-0.34785620406343387,-10790.11908579233
287,-0.17379089674415363,-10808.791875076591
288,-2.8730237521748405e-05,-21554.864395047607
289,0.17343159923205972,4505.445762044629
290,0.3465928596380342,9126.813632900317
291,0.5194555514296322,-5076.842932728736
292,0.6920208969075142,-6581.002984794529
293,0.8642919818357151,-5510.076228858231
294,1.036268282632367,5811.964018016872
